PCT Code,PCT Name,Type 1 10/11 prev,Type 2 10/11 prev,All 10/11 prev,hba1c,bmi,bp,albumin,creatinine,cholesterol,eyeexam,footexam,smoking,allcareprocesses,hba1c<6.5,hba1c<=7.5,hba1c<=10,chol<4,chol<5,bptarget,bp140/80,alltargets
5PX,Mid Essex PCT,0.0047,0.0381,0.0511,0.6687,0.8886,0.9510,0.3879,0.4745,0.9058,0.8250,0.8159,0.8481,0.1593,0.2440,0.6082,0.9320,0.3493,0.7505,0.3314,0.3855,0.1610
5KM,Middlesbrough PCT,0.0041,0.0390,0.0440,0.9450,0.9116,0.9546,0.6397,0.9504,0.9354,0.8714,0.8782,0.9269,0.5442,0.2542,0.5974,0.9029,0.4274,0.7853,0.3663,0.4401,0.1926
5CQ,Milton Keynes PCT,0.0040,0.0324,0.0438,0.9154,0.8954,0.9392,0.7604,0.9161,0.9077,0.8053,0.8375,0.8516,0.5857,0.2397,0.5958,0.9069,0.3857,0.7487,0.3256,0.3991,0.1604
5D7,Newcastle PCT,0.0044,0.0350,0.0397,0.9424,0.9184,0.9579,0.7345,0.9403,0.9306,0.8616,0.8674,0.8945,0.5736,0.2094,0.6134,0.9178,0.4483,0.7891,0.4458,0.5365,0.2387
5C5,Newham PCT,0.0020,0.0500,0.0525,0.9218,0.9321,0.9560,0.8248,0.9236,0.9152,0.7561,0.8891,0.9208,0.6280,0.2004,0.5995,0.8922,0.4913,0.8059,0.4171,0.4847,0.2304
5PQ,Norfolk PCT,0.0051,0.0414,0.0471,0.9379,0.9001,0.9580,0.7685,0.9379,0.9212,0.8306,0.8615,0.8854,0.5955,0.2215,0.5939,0.9303,0.4256,0.7805,0.3722,0.4473,0.1891
5PW,North East Essex PCT,0.0050,0.0476,0.0533,0.9133,0.9078,0.9526,0.7545,0.9400,0.9269,0.8147,0.8459,0.8306,0.5406,0.1916,0.6069,0.9141,0.3594,0.7463,0.3361,0.4460,0.1594
TAN,North East Lincolnshire Care Trust Plus,0.0038,0.0459,0.0503,0.9444,0.9191,0.9662,0.8034,0.9488,0.9377,0.8241,0.8711,0.8228,0.5556,0.2519,0.6520,0.9224,0.4033,0.7837,0.3589,0.4281,0.2020
5NF,North Lancashire Teaching PCT,0.0039,0.0441,0.0483,0.9286,0.8984,0.9477,0.8134,0.9287,0.9071,0.8038,0.8569,0.8907,0.6198,0.3176,0.6929,0.9380,0.4340,0.7765,0.3473,0.4691,0.2053
5EF,North Lincolnshire PCT,0.0045,0.0473,0.0526,0.9422,0.9067,0.9592,0.8153,0.9436,0.9288,0.8047,0.8526,0.8835,0.5925,0.2309,0.6422,0.9296,0.4329,0.7955,0.3330,0.4203,0.1871
